Antwort ID;Letzte Seite;Start-Sprache;Zufallsstartwert;Wie alt sind Sie? (Angabe in Jahren);Welchem Geschlecht fühlen Sie sich zugehörig?;Wie lange haben Sie sich in der Installation aufgehalten?;Haben Sie bereits Erfahrung mit interaktiven Kunstinstallationen?;Umgang mit Technologie  [     Wie sicher fühlen Sie sich im Umgang mit modernen digitalen Technologien? ];Räumliche Präsenz Skala  [Ich hatte das Gefühl, dass ich in der Umgebung der Projektion tatsächlich anwesend war. ];Räumliche Präsenz Skala  [Es schien, als ob ich tatsächlich an der Darstellung beteiligt war. ];Räumliche Präsenz Skala  [Es kam mir vor, als hätte sich mein wahrer Standort in die Umgebung der Projektion verschoben. ];Räumliche Präsenz Skala  [Ich hatte das Gefühl, dass ich in der Umgebung der Projektion physisch anwesend war.];Haben Sie bemerkt, dass die Blumenprojektion sich durch den/die Sound/Geräusche beeinflussen lässt?;Haben Sie bemerkt, dass ihre Handbewegung die Projektion auf der linken Seite beeinflusst?;Interaktivität und Eingebundenheit     [Ich fühlte mich durch die Interaktivität des Systems stärker in das Erlebnis eingebunden.];Interaktions Skala     [ Die Objekte in der Projektion gaben mir das Gefühl, dass ich mit ihnen etwas anfangen kann. ];Interaktions Skala     [Ich hatte den Eindruck, dass ich in der Umgebung der Projektion agieren konnte. ];Interaktions Skala     [Ich hatte das Gefühl, dass ich mich zwischen den Objekten in der Projektion bewegen konnte.];Interaktions Skala     [Ich hatte den Eindruck, dass ich in der Umgebung der Projektion alles tun konnte, was ich wollte.];Systemeffizienz  [Das System reagierte schnell und ohne spürbare Verzögerung auf meine Eingaben.];Systemeffizienz  [Die Steuerung des Systems war intuitiv und leicht verständlich.];Systemeffizienz  [Ich konnte meine beabsichtigten Aktionen problemlos ausführen.];Gesamteindruck     [Wie zufrieden waren Sie insgesamt mit der Rauminstallation?];Was hat Ihnen an der Installation am meisten gefallen?;Was hätte verbessert werden können?;Würden Sie diese Installation weiterempfehlen?;Gesamtzeit;Gruppenzeit: Biografische Fragen;Fragenzeit: G02Q02;Fragenzeit: G02Q03;Fragenzeit: G02Q04;Fragenzeit: G02Q05;Fragenzeit: G02Q06;Gruppenzeit: Subjektive Wahrnehmung von Räumlicher Präsenz in der Kunstinstallation;Fragenzeit: G03Q07;Gruppenzeit: Subjektive Wahrnehmung von Interaktionsmöglichkeiten in der Kunstinstallation;Fragenzeit: G04Q08;Fragenzeit: G04Q09;Fragenzeit: G04Q10;Fragenzeit: G04Q011;Gruppenzeit: Interaktion wurde wahrgenommen;Fragenzeit: G05Q12;Gruppenzeit: Zufriedenheit;Fragenzeit: G06Q13;Fragenzeit: G06Q14;Fragenzeit: G06Q15;Fragenzeit: G06Q16
80;5;de;2140440924;31;weiblich;2-5 Minuten;Ja, mehrfach;4;4;4;2;2;Ja;Ja;3;3;4;2;2;4;4;3;4;;;Ja;288.17;23. Jul;;;;;;45.18;;95.81;;;;;34.34;;89.14;;;;
81;5;de;1207331931;66;männlich;2-5 Minuten;Nein;2;2;2;3;2;Ja;Ja;2;2;2;3;1;2;1;2;3;;;Ja;273.62;47.84;;;;;;69.05;;74.31;;;;;21.35;;61.07;;;;
82;5;de;635107664;43;weiblich;2-5 Minuten;Nein;5;4;5;3;5;Ja;Ja;5;5;4;4;5;5;4;5;5;Die gezeigten Bilder und Blumen. Die Idee, eine Installation in einer solchen Box zu machen, ist cool. ;vielleicht noch klassische Musik. Passt zu den Bildern;Ja;412.9;52.27;;;;;;66.61;;46.79;;;;;24.77;;222.46;;;;
83;5;de;1448505752;68;weiblich;2-5 Minuten;Ja, einmal;3;5;5;1;1;Nein;Ja;3;2;5;1;5;4;3;3;3;Blüten und farbigkeit;keine Angabe;Ja;746.24;197.93;;;;;;196.49;;103.63;;;;;59.62;;188.57;;;;
84;5;de;2102156545;27;weiblich;weniger als 2 Minuten;Ja, einmal;4;2;3;2;1;Nein;Ja;2;3;3;1;4;4;3;4;3;Bin überrascht sowas in der Alten Pinakothek zu sehen, sehr cool. Entwicklung von Studierenden ebenfalls eine schöne Kooperation.;Klarer Vermittlung, inwiefern man interaktiv werden kann.;Ja;460.52;160.9;;;;;;59.97;;59.86;;;;;13.59;;166.2;;;;
85;5;de;675813073;34;weiblich;2-5 Minuten;Ja, einmal;5;4;4;3;3;Ja;Ja;4;3;4;4;4;5;4;4;5; ; ;Ja;62.27;13.67;;;;;;Sep 83;;19.54;;;;;Aug 19;;11. Apr;;;;
86;5;de;1862103913;38;männlich;weniger als 2 Minuten;Ja, mehrfach;4;3;4;3;5;Ja;Ja;4;3;3;2;3;4;5;4;4;Artstyle;Mehrere Menschen gleichzeitig ;Ja;236.33;107.63;;;;;;15.61;;26.21;;;;;Jul 82;;79.06;;;;
87;5;de;1027063777;50;weiblich;2-5 Minuten;Ja, mehrfach;3;5;5;4;5;Ja;Ja;5;4;4;2;5;5;5;5;4;Geräusche;Mehr Sitzplätze, größer ;Ja;214.5;41.87;;;;;;33.97;;68.26;;;;;20.72;;49.68;;;;
88;5;de;920828681;54;weiblich;2-5 Minuten;Ja, einmal;4;3;4;4;4;Ja;Ja;4;3;4;3;2;5;5;4;4;Die Lebendigkeit;Ich hätte mir weniger Menschen und mehr Blumen gewünscht;Ja;141.35;29;;;;;;16.15;;34.7;;;;;Okt 33;;51.17;;;;
89;5;de;909478678;;weiblich;2-5 Minuten;Ja, mehrfach;4;4;5;4;4;Ja;Ja;5;5;5;5;4;4;4;5;5;Kreativität ;Mehr intuitive Lösung. Den Sensor habe ich nicht sofort erkannt. ;Ja;194.77;32.16;;;;;;43.96;;38.09;;;;;Nov 99;;68.57;;;;
90;5;de;647079530;26;weiblich;Länger als 10 Minuten;Ja, mehrfach;4;5;5;4;3;Nein;Ja;5;4;5;4;5;5;5;5;5;Die Freude, die es bei den Besuchern ausgelöst hat und das Gefühl, die Stillleben erleben zu können dank der modernen Technologien ;;Ja;317.4;34.35;;;;;;59.99;;71.48;;;;;Jul 33;;144.25;;;;
91;5;de;1550056767;64;männlich;5-10 Minuten;Ja, mehrfach;4;4;5;3;4;Nein;Ja;4;4;5;3;3;5;5;5;5;Die Interaktion;Töne als Interaktionmöglichkeit;Ja;277.69;79.67;;;;;;38.98;;66.8;;;;;21.48;;70.76;;;;
92;5;de;648923317;58;weiblich;5-10 Minuten;Nein;3;2;3;1;2;Ja;Ja;4;4;5;5;4;3;3;2;4;die Farben und Formen, die sich immer vwieder neu zusamm,ensetztenm f; ;Ja;230.18;37.66;;;;;;24. Dez;;42.16;;;;;14.88;;111.36;;;;
93;5;de;1659956950;44;weiblich;2-5 Minuten;Nein;4;3;4;2;4;Nein;Ja;5;4;4;2;1;5;5;5;4;;;Ja;274.5;89.83;;;;;;53.16;;53.7;;;;;24.53;;53.28;;;;
94;5;de;962262367;25;weiblich;5-10 Minuten;Ja, mehrfach;5;4;5;2;3;Ja;Ja;5;5;5;4;3;4;5;4;5;Übergang von Blume zu gesicht;;Ja;234.5;50.58;;;;;;20.65;;81.81;;;;;22.95;;58.51;;;;
95;5;de;358736266;43;männlich;2-5 Minuten;Ja, mehrfach;5;2;4;2;2;Nein;Ja;5;4;5;2;2;5;4;5;4;interaktiv mit Gesten ein Bild zu verändern ;;Ja;248.94;71.91;;;;;;40.77;;51.75;;;;;20.79;;63.72;;;;
96;5;de;1484859089;38;weiblich;weniger als 2 Minuten;Ja, mehrfach;5;4;1;1;4;Nein;Ja;4;4;4;3;2;3;3;3;4;Dynamik;;Ja;116.54;21.51;;;;;;18.43;;30.66;;;;;Nov 63;;34.31;;;;
97;5;de;2058262208;32;männlich;5-10 Minuten;Ja, mehrfach;5;3;3;4;2;Ja;Nein;2;4;4;4;4;4;1;1;5;;;Ja;128.45;32.36;;;;;;22.34;;38.11;;;;;15.55;;20. Sep;;;;
98;5;de;1956948381;52;weiblich;5-10 Minuten;Ja, einmal;3;2;4;3;5;Ja;Ja;5;5;5;4;2;4;5;5;5;Interaktion hand;Mapping ;Ja;396.56;58.32;;;;;;48.77;;69.2;;;;;26.24;;194.03;;;;
99;5;de;347421270;50;weiblich;5-10 Minuten;Ja, einmal;3;3;4;4;4;Nein;Ja;5;4;4;4;3;5;5;4;5;Sehr poetisch. Interaktion, konnte steuern wie die Bilder erscheinen;Beim Sound war die Livemusik im Saal störend ;;;;;;;;;;;;;;;;;;;;;;
100;5;de;1602435121;37;weiblich;2-5 Minuten;Ja, mehrfach;4;2;4;2;2;Ja;Ja;2;2;3;2;2;3;4;2;3;;;Ich bin mir unsicher;270.61;68.78;;;;;;47.4;;52.66;;;;;37.22;;64.55;;;;
101;5;de;1108595298;37;weiblich;weniger als 2 Minuten;Ja, mehrfach;3;2;3;2;2;Nein;Ja;4;3;3;2;4;3;2;2;2;wachsen der Blumen ;klarere Instrumentalisierung ;Ich bin mir unsicher;318.95;68.91;;;;;;56.64;;71.42;;;;;58.35;;63.63;;;;
102;5;de;91571657;24;weiblich;2-5 Minuten;Ja, einmal;2;4;4;2;3;Ja;Ja;4;4;4;2;3;4;5;5;5;Dass man alte Kunst  auf neue Art wahrnehmen kann;;Ja;267.49;50.69;;;;;;37.81;;81.33;;;;;18.77;;78.89;;;;
103;5;de;263958969;24;weiblich;2-5 Minuten;Ja, einmal;4;4;4;3;3;Ja;Ja;5;4;4;3;3;4;4;4;5;der Objektsensor und herauszufinden, warum wann Blumen und wann Gesichter aufgezeigt werden;;Ja;247.66;58.77;;;;;;29. Aug;;55.68;;;;;16. Feb;;87.39;;;;
104;5;de;48013880;33;weiblich;weniger als 2 Minuten;Ja, einmal;5;3;3;3;3;Ich bin mir unsicher;Ja;3;3;3;3;3;2;2;2;3;-;-;Ich bin mir unsicher;253.4;65.99;;;;;;48.53;;70.19;;;;;23. Mär;;45.39;;;;
105;5;de;63197763;35;N/A;weniger als 2 Minuten;Ja, mehrfach;5;2;3;2;3;Ja;Nein;3;3;3;2;4;4;4;4;3;;;Ich bin mir unsicher;395.86;45.48;;;;;;91.13;;179.67;;;;;30.45;;49.13;;;;
106;5;de;1032025221;23;weiblich;2-5 Minuten;Nein;5;3;3;2;3;Ja;Ja;4;4;3;4;3;5;5;5;4;;;Ja;258.86;35.12;;;;;;59.87;;104.37;;;;;35.98;;23.52;;;;
107;5;de;108405050;23;weiblich;2-5 Minuten;Ja, mehrfach;4;4;5;3;2;Nein;Ja;5;4;5;2;3;5;5;3;5;Sehr mitreißend durch die fließenden bewegungen;Mir war der bildfluss tatsächlich ein wenig zu Hecktisch, man konnte sich auf die einzelnen Bilder nicht 100% einlassen;Ja;251.04;23.65;;;;;;58.11;;70.28;;;;;Nov 68;;87.32;;;;
