Antwort ID;Letzte Seite;Start-Sprache;Zufallsstartwert;Wie alt sind Sie? (Angabe in Jahren);Welchem Geschlecht fühlen Sie sich zugehörig?;Wie lange haben Sie sich in der Installation aufgehalten?;Haben Sie bereits Erfahrung mit interaktiven Kunstinstallationen?;Umgang mit Technologie  [     Wie sicher fühlen Sie sich im Umgang mit modernen digitalen Technologien? ];Räumliche Präsenz Skala  [Ich hatte das Gefühl, dass ich in der Umgebung der Projektion tatsächlich anwesend war. ];Räumliche Präsenz Skala  [Es schien, als ob ich tatsächlich an der Darstellung beteiligt war. ];Räumliche Präsenz Skala  [Es kam mir vor, als hätte sich mein wahrer Standort in die Umgebung der Projektion verschoben. ];Räumliche Präsenz Skala  [Ich hatte das Gefühl, dass ich in der Umgebung der Projektion physisch anwesend war.];Haben Sie bemerkt, dass die Blumenprojektion sich durch den/die Sound/Geräusche beeinflussen lässt?;Haben Sie bemerkt, dass ihre Bewegung die Projektion auf der linken Seite beeinflusst?;Interaktivität und Eingebundenheit     [Ich fühlte mich durch die Interaktivität des Systems stärker in das Erlebnis eingebunden.];Interaktions Skala     [ Die Objekte in der Projektion gaben mir das Gefühl, dass ich mit ihnen etwas anfangen kann. ];Interaktions Skala     [Ich hatte den Eindruck, dass ich in der Umgebung der Projektion agieren konnte. ];Interaktions Skala     [Ich hatte das Gefühl, dass ich mich zwischen den Objekten in der Projektion bewegen konnte.];Interaktions Skala     [Ich hatte den Eindruck, dass ich in der Umgebung der Projektion alles tun konnte, was ich wollte.];Systemeffizienz  [Das System reagierte schnell und ohne spürbare Verzögerung auf meine Eingaben.];Systemeffizienz  [Die Steuerung des Systems war intuitiv und leicht verständlich.];Systemeffizienz  [Ich konnte meine beabsichtigten Aktionen problemlos ausführen.];Gesamteindruck     [Wie zufrieden waren Sie insgesamt mit der Rauminstallation?];Was hat Ihnen an der Installation am meisten gefallen?;Was hätte verbessert werden können?;Würden Sie diese Installation weiterempfehlen?;Gesamtzeit;Gruppenzeit: Biografische Fragen;Fragenzeit: G02Q02;Fragenzeit: G02Q03;Fragenzeit: G02Q04;Fragenzeit: G02Q05;Fragenzeit: G02Q06;Gruppenzeit: Subjektive Wahrnehmung von Räumlicher Präsenz in der Kunstinstallation;Fragenzeit: G03Q07;Gruppenzeit: Subjektive Wahrnehmung von Interaktionsmöglichkeiten in der Kunstinstallation;Fragenzeit: G04Q08;Fragenzeit: G04Q09;Fragenzeit: G04Q10;Fragenzeit: G04Q011;Gruppenzeit: Interaktion wurde wahrgenommen;Fragenzeit: G05Q12;Gruppenzeit: Zufriedenheit;Fragenzeit: G06Q13;Fragenzeit: G06Q14;Fragenzeit: G06Q15;Fragenzeit: G06Q16
85;5;de;1084463361;17;männlich;2-5 Minuten;Ja, mehrfach;4;3;4;3;4;Nein;Ich bin mir unsicher;4;3;3;3;2;;;;4;Die Geräusche und Farben die verwendet wurden ;noch realistischere Bilder und Formen der Blumen und Farben ;Ja;258.87;41.29;;;;;;38.59;;64.68;;;;;;;114.31;;;;
86;5;de;762771490;22;männlich;Länger als 10 Minuten;Ja, einmal;5;1;2;1;3;Nein;Nein;1;1;1;3;1;;;;2;Das ipad;Mehr Abwechslung, meine aufmerksamkeitsspanne ist nicht hoch;Nein;257.94;35.51;;;;;;42.95;;95.67;;;;;;;83.81;;;;
87;5;de;881104455;24;männlich;2-5 Minuten;Nein;4;3;4;2;4;Nein;Ja;4;4;4;3;4;5;4;4;4;Die Blumenmotive;Erklärung zum Einwirkung durch Geräusche;Ja;284.83;49.57;;;;;;67.72;;77.01;;;;;20.76;;69.77;;;;
88;5;de;1858284896;26;weiblich;weniger als 2 Minuten;Nein;4;4;4;1;2;Ja;Ja;3;3;4;4;2;4;4;3;4;;;Ja;128.14;30.92;;;;;;26.86;;43.96;;;;;Nov 78;;14.62;;;;
89;5;de;1609822794;34;weiblich;weniger als 2 Minuten;Ja, mehrfach;5;5;5;5;5;Ja;Ja;5;4;5;5;5;5;5;5;5;Interaktion Motion;Teilnehmer beschränken;Ja;225.55;114.22;;;;;;Sep 92;;17.97;;;;;Jun 28;;77.16;;;;
90;5;de;1674761;26;männlich;weniger als 2 Minuten;Ja, einmal;5;1;1;1;1;Nein;Nein;2;1;1;1;1;;;;5;;Sehr unscharfes Bild, gibt schnell Kopfschmerzen ;Nein;167.39;26.19;;;;;;29.18;;48.12;;;;;;;63.9;;;;
91;5;de;1359572317;60;weiblich;2-5 Minuten;Ja, einmal;3;2;2;4;3;Ich bin mir unsicher;Ja;5;5;5;5;3;4;3;4;5;Ästhetik ;Erklärung ;Ja;203.87;37.1;;;;;;45.71;;58.66;;;;;19.27;;43.13;;;;
92;5;de;986526514;60;weiblich;2-5 Minuten;Ja, einmal;3;4;4;3;4;Ja;Ja;5;5;4;4;3;4;4;4;1;Entstehen von Farben und Formen  ;Vorab Erklärungen wie es funktioniert;Ja;363.65;54.8;;;;;;44.93;;69.04;;;;;24.96;;169.92;;;;
93;5;de;473825797;57;männlich;2-5 Minuten;Nein;5;3;5;5;3;Nein;Ja;5;5;5;5;3;4;5;5;4; ; ;Ja;219.05;52.16;;;;;;48.43;;63.39;;;;;17.99;;37.08;;;;
94;5;de;1299284533;57;männlich;weniger als 2 Minuten;Ja, mehrfach;5;2;2;2;3;Ich bin mir unsicher;Ich bin mir unsicher;2;2;2;2;5;;;;3;Bewegung und intensive Farbigkeit;Einlass sollte geregelt werden, damit man als Einzelperson die Effekte der eigenen Interaktion mit dem Kunstwerk besser und individuell erleben kann.;Ja;296.38;53.51;;;;;;43.62;;55.06;;;;;;;144.19;;;;
95;5;de;677774944;26;männlich;2-5 Minuten;Ja, mehrfach;5;5;5;4;5;Nein;Ja;5;5;5;5;5;5;5;5;5;Flüssige Interaktion;Ton Einfluss ist mir nicht aufgefallen;Ja;134.72;18.83;;;;;;33.75;;40.15;;;;;Aug 23;;33.76;;;;
96;5;de;1766953059;73;weiblich;2-5 Minuten;Ja, einmal;3;3;1;1;1;Nein;Nein;1;2;1;1;1;;;;3;Intensive farben;Interaktion;Ich bin mir unsicher;202.01;68.76;;;;;;41.65;;55.82;;;;;;;35.78;;;;
97;5;de;1055552472;19;männlich;weniger als 2 Minuten;Nein;5;4;4;5;3;Nein;Ja;5;3;3;3;3;3;3;3;3;;;Ja;172.09;52.55;;;;;;26.32;;62.76;;;;;13.38;;17. Aug;;;;
98;5;de;423674988;19;weiblich;2-5 Minuten;Ja, mehrfach;4;3;4;4;4;Nein;Ja;4;3;5;5;1;3;3;3;3;;;Ich bin mir unsicher;201.3;49.16;;;;;;44.73;;77.89;;;;;Aug 62;;20. Sep;;;;
99;5;de;1472008249;54;weiblich;2-5 Minuten;Ja, mehrfach;4;3;5;1;2;Nein;Ja;5;5;4;4;5;3;4;5;4;Variation von Pflanzen ;;Ja;333.57;65.11;;;;;;59.89;;107.48;;;;;25. Feb;;75.89;;;;
100;5;de;1443766274;60;männlich;2-5 Minuten;Ja, mehrfach;4;4;4;2;3;Ja;Ja;5;4;4;3;3;5;4;5;4;Interaktion bei der linken Installation ;Bei der rechten Installation wenn man es durch eigene Geräusche beeinflussen könnte;Ja;266.86;43.83;;;;;;26.72;;37.64;;;;;15.53;;143.14;;;;
101;5;de;434799899;26;männlich;weniger als 2 Minuten;Ja, einmal;4;4;5;3;2;Nein;Ja;4;4;4;3;1;4;5;5;5;;;Ja;205.95;76.16;;;;;;26.41;;60.59;;;;;14. Jul;;28. Sep;;;;
102;5;de;1014245271;25;weiblich;2-5 Minuten;Ja, mehrfach;4;4;4;3;3;Nein;Ja;4;5;5;4;2;5;5;5;5;Bunte Farben ;Nix ;Ja;116.69;33.39;;;;;;17.83;;36.45;;;;;Okt 49;;18.53;;;;
103;5;de;1425544712;25;weiblich;weniger als 2 Minuten;Ja, einmal;3;2;1;2;1;Nein;Nein;1;2;1;3;4;;;;3;Farbwechsel;Dass man von der Interaktion und Beeinflussung durch Geräusche/Bewegung vorher erfährt;Ich bin mir unsicher;193.24;46.98;;;;;;32.32;;54.23;;;;;;;59.71;;;;
104;5;de;1693029029;26;weiblich;2-5 Minuten;Ja, mehrfach;4;4;2;3;3;Nein;Nein;3;2;2;3;3;;;;3;;;Ich bin mir unsicher;144.12;52.16;;;;;;24.31;;42.67;;;;;;;24.98;;;;
105;5;de;1259701687;31;N/A;weniger als 2 Minuten;Ja, einmal;5;2;2;2;2;Ich bin mir unsicher;Ich bin mir unsicher;2;2;2;2;2;;;;3;;Die Installation könnte größer sein. Mehr Raum.;Ja;308.57;54.89;;;;;;42.91;;131.32;;;;;;;79.45;;;;
106;5;de;1233983210;17;weiblich;2-5 Minuten;Ja, mehrfach;4;2;3;3;3;Ja;Nein;3;3;3;3;3;3;4;3;3;;Die Projektion könnte größer sein.;Ja;234.89;46.13;;;;;;44.83;;56.25;;;;;14.36;;73.32;;;;
