"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsstartwert","Datum gestartet","Datum letzte Aktivität","Wie alt sind Sie? (Angabe in Jahren)","Welchem Geschlecht fühlen Sie sich zugehörig?","Wie lange haben Sie sich in der Installation aufgehalten?","Haben Sie bereits Erfahrung mit interaktiven Kunstinstallationen?","Umgang mit Technologie  [     Wie sicher fühlen Sie sich im Umgang mit modernen digitalen Technologien? ]","Räumliche Präsenz Skala  [Ich hatte das Gefühl, dass ich in der Umgebung der Projektion tatsächlich anwesend war. ]","Räumliche Präsenz Skala  [Es schien, als ob ich tatsächlich an der Darstellung beteiligt war. ]","Räumliche Präsenz Skala  [Es kam mir vor, als hätte sich mein wahrer Standort in die Umgebung der Projektion verschoben. ]","Räumliche Präsenz Skala  [Ich hatte das Gefühl, dass ich in der Umgebung der Projektion physisch anwesend war.]","Haben Sie bemerkt, dass die Blumenprojektionen auf der rechten Seite auf die von Ihnen erzeugten Geräusche reagieren?","Haben Sie bemerkt, dass ihre Bewegung die Grashalmprojektion beeinflusst?","Interaktivität und Eingebundenheit     [Ich fühlte mich durch die Interaktivität des Systems stärker in das Erlebnis eingebunden.]","Interaktions Skala     [ Die Objekte in der Projektion gaben mir das Gefühl, dass ich mit ihnen etwas anfangen kann. ]","Interaktions Skala     [Ich hatte den Eindruck, dass ich in der Umgebung der Projektion agieren konnte. ]","Interaktions Skala     [Ich hatte das Gefühl, dass ich mich zwischen den Objekten in der Projektion bewegen konnte.]","Interaktions Skala     [Ich hatte den Eindruck, dass ich in der Umgebung der Projektion alles tun konnte, was ich wollte.]","Systemeffizienz  [Das System reagierte schnell und ohne spürbare Verzögerung auf meine Eingaben.]","Systemeffizienz  [Die Steuerung des Systems war intuitiv und leicht verständlich.]","Systemeffizienz  [Ich konnte meine beabsichtigten Aktionen problemlos ausführen.]","Gesamteindruck     [Wie zufrieden waren Sie insgesamt mit der Rauminstallation?]","Was hat Ihnen an der Installation am meisten gefallen?","Was hätte verbessert werden können?","Würden Sie diese Installation weiterempfehlen?","Gesamtzeit","Gruppenzeit: Biografische Fragen","Fragenzeit: G02Q02","Fragenzeit: G02Q03","Fragenzeit: G02Q04","Fragenzeit: G02Q05","Fragenzeit: G02Q06","Gruppenzeit: Subjektive Wahrnehmung von Räumlicher Präsenz in der Kunstinstallation","Fragenzeit: G03Q07","Gruppenzeit: Subjektive Wahrnehmung von Interaktionsmöglichkeiten in der Kunstinstallation","Fragenzeit: G04Q08","Fragenzeit: G04Q09","Fragenzeit: G04Q10","Fragenzeit: G04Q011","Gruppenzeit: Interaktion wurde wahrgenommen","Fragenzeit: G05Q12","Gruppenzeit: Zufriedenheit","Fragenzeit: G06Q13","Fragenzeit: G06Q14","Fragenzeit: G06Q15","Fragenzeit: G06Q16"
"62","2025-03-05 15:46:34","5","de","1019116225","2025-03-05 15:38:30","2025-03-05 15:46:34","81","weiblich","5-10 Minuten","Nein","4","3","3","2","2","Nein","Ja","3","3","2","4","4","3","3","2","3","die wachsenden Blumen, ich konnte aber nicht feststellen, wie ich ihre Größe hätte beeinflussen können","Sie noch abwechslungsreicher zu gestalten ","Ja","422.11","55.96",,,,,,"45.84",,"61.46",,,,,"40.87",,"217.98",,,,
"63","2025-03-05 15:58:11","5","de","1003186346","2025-03-05 15:48:13","2025-03-05 15:58:11","65","weiblich","5-10 Minuten","Nein","3","2","4","2","4","Ich bin mir unsicher","Ja","4","4","4","3","3","3","3","2","4","Die Idee, sich als gestaltendes Medium erleben zu können und Kunst nicht nur aufnehmend zu erleben.","Ich konnte den Zusammenhang von meinen Bewegungen zu den Veränderungen des Blumenbild nicht ganz zuordnen. Das fand ich nicht so schön, aber die Idee War super.","Ja","599.87","36.83",,,,,,"75.14",,"181.35",,,,,"24.16",,"282.39",,,,
"64","2025-03-05 15:54:28","5","de","2122469896","2025-03-05 15:49:12","2025-03-05 15:54:28","83","weiblich","5-10 Minuten","Ja, einmal","1","5","4","5","4","Ja","Ja","5","4","4","5","5","5","5","4","5","Blumenwachstum"," ","Ja","317.8","84.64",,,,,,"151.52",,"44.57",,,,,"18.5",,"18.57",,,,
"65","2025-03-05 15:54:36","5","de","1530111861","2025-03-05 15:49:30","2025-03-05 15:54:36","73","weiblich","5-10 Minuten","Nein","3","2","2","4","3","Ja","Ich bin mir unsicher","4","4","3","4","4","4","4","4","1",""," ","Ja","308.29","90.64",,,,,,"38.49",,"63.04",,,,,"17.56",,"98.56",,,,
"66","2025-03-05 15:59:30","5","de","1733613809","2025-03-05 15:54:16","2025-03-05 15:59:30","60","weiblich","5-10 Minuten","Ja, mehrfach","3","3","2","3","4","Ja","Ja","4","4","5","3","5","5","4","5","4","Die Blumen und Geräusche ","Blitz und Donner lauter😂","Ja","315.89","56.21",,,,,,"49.48",,"89.46",,,,,"42.28",,"78.46",,,,
"67","2025-03-05 16:09:48","5","de","14747270","2025-03-05 16:04:54","2025-03-05 16:09:48","70","weiblich","2-5 Minuten","Nein","3","5","3","2","5","Nein","Nein","3","4","1","1","3","","","","5","die Kombination aus allen Elementen","icH hätte mir noch Duft dazu gewünscht  Blumenduft, Waldboden...","Ja","295.53","39.25",,,,,,"55.18",,"71.72",,,,,,,"129.38",,,,
"68","2025-03-05 16:07:50","5","de","199053360","2025-03-05 16:05:10","2025-03-05 16:07:50","63","weiblich","2-5 Minuten","Nein","4","3","2","2","2","Ja","Ja","2","2","3","3","3","3","3","3","3","","","Ich bin mir unsicher","163.21","35.75",,,,,,"33.56",,"48.87",,,,,"19.36",,"25.67",,,,
"69","2025-03-05 16:12:08","5","de","1651105335","2025-03-05 16:08:00","2025-03-05 16:12:08","18","weiblich","5-10 Minuten","Ja, einmal","4","4","3","5","4","Ja","Ja","4","5","4","4","5","4","5","5","5","Reaktion auf die Anwesenheit von Menschen","Nichts war super","Ja","251.47","52.83",,,,,,"46.62",,"54.82",,,,,"29.35",,"67.85",,,,
"70","2025-03-05 16:12:09","5","de","344268447","2025-03-05 16:08:19","2025-03-05 16:12:09","16","weiblich","5-10 Minuten","Ja, einmal","4","4","3","3","4","Ich bin mir unsicher","Ja","4","4","4","4","3","4","5","5","5","Interaktion der Kunst","Nichts war gut","Ja","232.35","49.8",,,,,,"31.98",,"61.3",,,,,"25.46",,"63.81",,,,
"71","2025-03-05 16:19:31","5","de","1926378956","2025-03-05 16:15:15","2025-03-05 16:19:31","63","weiblich","weniger als 2 Minuten","Ja, mehrfach","4","5","3","3","4","Nein","Nein","4","3","2","5","5","","","","4","die farbem, das sich verändernde bouqurt, auch die Hslme","von den e interaktionsmögLichtleiter erfuhr ich durch diese Umfrage Vielleicht ein kleiner hinweis","Ja","256.99","38.24",,,,,,"46.41",,"60.96",,,,,,,"111.38",,,,
"72","2025-03-05 16:23:03","5","de","702308171","2025-03-05 16:16:01","2025-03-05 16:23:03","61","weiblich","2-5 Minuten","Ja, mehrfach","3","4","2","3","2","Nein","Ja","4","5","3","4","2","3","2","2","4","Teil der Installation zu sein","Ein Hinweis am Anfang","Ja","424.79","46.75",,,,,,"76.26",,"111.84",,,,,"73.68",,"116.26",,,,
"73","2025-03-05 16:20:44","5","de","587483003","2025-03-05 16:16:22","2025-03-05 16:20:44","59","weiblich","weniger als 2 Minuten","Nein","2","1","1","1","5","Nein","Nein","1","1","1","5","5","","","","1","","Weglassen","Nein","264.33","57.74",,,,,,"54.34",,"98.85",,,,,,,"53.4",,,,
"74","2025-03-05 16:29:20","5","de","1604225466","2025-03-05 16:25:33","2025-03-05 16:29:20","74","männlich","2-5 Minuten","Ja, einmal","3","5","2","2","3","Nein","Nein","3","2","1","3","5","","","","3","","","Ich bin mir unsicher","229.17","55.27",,,,,,"61.8",,"74.37",,,,,,,"37.73",,,,
"75","2025-03-05 16:33:31","5","de","560232207","2025-03-05 16:28:56","2025-03-05 16:33:31","55","weiblich","2-5 Minuten","Ja, mehrfach","3","3","4","3","3","Ja","Ja","3","3","5","5","3","3","4","3","4","","","Ich bin mir unsicher","277.25","42.85",,,,,,"60",,"75.06",,,,,"23.5",,"75.84",,,,
"76","2025-03-05 16:38:50","5","de","659549645","2025-03-05 16:38:16","2025-03-05 16:38:50","31","männlich","5-10 Minuten","Ja, mehrfach","4","4","5","5","4","Ja","Ja","5","5","4","5","5","5","4","5","5"," "," ","Ja","35.1","9.64",,,,,,"5.14",,"9.96",,,,,"4.02",,"6.34",,,,
"77","2025-03-05 16:42:02","5","de","2020000219","2025-03-05 16:38:18","2025-03-05 16:42:02","23","männlich","5-10 Minuten","Ja, mehrfach","5","5","5","4","5","Ja","Nein","5","5","5","5","5","5","5","5","5","interaktion","Raumgestaltung ","Ja","225.92","70.01",,,,,,"11.48",,"107.6",,,,,"9.57",,"27.26",,,,
"78","2025-03-05 16:44:03","5","de","372477309","2025-03-05 16:39:22","2025-03-05 16:44:03","60","weiblich","2-5 Minuten","Ja, mehrfach","4","2","2","4","3","Ja","Nein","4","3","4","1","5","4","2","5","4","","","Ja","282.27","94.94",,,,,,"71.02",,"69.12",,,,,"21.63",,"25.56",,,,
"79","2025-03-05 16:42:33","5","de","351675129","2025-03-05 16:39:22","2025-03-05 16:42:33",,"weiblich","2-5 Minuten","Ja, mehrfach","4","5","4","2","4","Ich bin mir unsicher","Nein","3","3","3","1","1","","","","4","Die Interaktion ","","Ja","192.15","73.5",,,,,,"23.11",,"44.13",,,,,,,"51.41",,,,
"80","2025-03-05 16:50:43","5","de","1624098978","2025-03-05 16:43:17","2025-03-05 16:50:43","24","weiblich","2-5 Minuten","Ja, einmal","5","3","4","3","4","Nein","Ja","4","3","3","4","3","4","5","5","4","Die  Bewegungen im Einklang mit meinen Bewegungen","Im Gras hat mir die ""Lebendigkeit"" gefehlt. Vllt durch Einsetzten von Tieren","Ja","449.13","65.7",,,,,,"74.73",,"86.27",,,,,"42.48",,"179.95",,,,
"81","2025-03-05 16:49:07","5","de","1082477945","2025-03-05 16:43:18","2025-03-05 16:49:07","27","männlich","2-5 Minuten","Ja, einmal","5","4","3","4","3","Ja","Nein","4","4","4","4","4","2","4","4","4","interaktiver Teil: Das Bild wurde durch Geräusche fertig gezeichnet","","Ja","351.75","65.56",,,,,,"64.03",,"99.05",,,,,"28.45",,"94.66",,,,
"82","2025-03-05 16:46:45","5","de","132112558","2025-03-05 16:44:59","2025-03-05 16:46:45","47","männlich","2-5 Minuten","Ja, einmal","5","3","4","3","5","Ja","Nein","5","5","3","3","4","4","4","5","4","S","S","Ich bin mir unsicher","108.33","35.55",,,,,,"11.36",,"25.97",,,,,"6.62",,"28.83",,,,
"83","2025-03-05 16:54:50","5","de","809443512","2025-03-05 16:50:09","2025-03-05 16:54:50","53","weiblich","2-5 Minuten","Ja, mehrfach","3","5","2","1","5","Ja","Nein","1","3","3","1","1","5","2","3","3","","","Ich bin mir unsicher","283.59","53.25",,,,,,"66.24",,"77.67",,,,,"32.07",,"54.36",,,,
"84","2025-03-05 16:54:46","5","de","219836573","2025-03-05 16:50:16","2025-03-05 16:54:46","60","weiblich","2-5 Minuten","Ja, mehrfach","3","5","2","1","5","Ja","Nein","1","3","3","1","1","3","2","2","3","","","Ich bin mir unsicher","271.39","44.08",,,,,,"68.72",,"77.02",,,,,"32.07",,"49.5",,,,
"85","2025-03-05 17:03:54","5","de","757346373","2025-03-05 16:56:48","2025-03-05 17:03:54","16","weiblich","5-10 Minuten","Ja, mehrfach","3","2","3","2","3","Ja","Ich bin mir unsicher","4","4","3","3","2","2","4","5","3","Das Wachsen der Blumen ","Die Reaktion auf die Signale ","Ich bin mir unsicher","427.58","95.99",,,,,,"51.15",,"99.64",,,,,"26.67",,"154.13",,,,
"86","2025-03-05 17:03:57","5","de","902888961","2025-03-05 16:56:48","2025-03-05 17:03:57","43","weiblich","weniger als 2 Minuten","Ja, mehrfach","1","3","3","1","2","Ich bin mir unsicher","Nein","5","5","5","2","2","","","","4","die Blumen ","der Vorgang der Entwicklung der Blume War zu schnell ","Ich bin mir unsicher","432.21","108.69",,,,,,"92.37",,"82.41",,,,,,,"148.74",,,,
"87","2025-03-05 17:04:17","5","de","255487629","2025-03-05 16:57:15","2025-03-05 17:04:17","13","N/A","2-5 Minuten","Ja, einmal","3","2","3","3","4","Ja","Ja","2","4","4","5","4","5","4","5","4","Das der Blumenstrauß bei Geräuschen immer größer wurde","","Ja","424.29","93.55",,,,,,"68.07",,"81.08",,,,,"62.37",,"119.22",,,,
"88","2025-03-05 17:09:45","5","de","2147306773","2025-03-05 16:57:41","2025-03-05 17:09:45","14","weiblich","2-5 Minuten","Ja, mehrfach","4","4","4","5","3","Ja","Ja","3","4","4","2","2","4","3","5","4","Das Klatschen um die Blumen wachsen zu lassen","Die Gräser hätten etwas mehr in die Weite gehen können und das Endergebnis der Blumen ein bisschen länger zum betrachten da bleiben können. ","Ja","725.16","134.36",,,,,,"248.92",,"163",,,,,"41.3",,"137.58",,,,
"89","2025-03-05 17:13:54","5","de","2089963080","2025-03-05 17:06:57","2025-03-05 17:13:54","61","weiblich","2-5 Minuten","Nein","3","4","3","2","4","Ja","Ja","4","3","4","3","4","3","3","3","4","das Gefühl ein eigenes Bild zu gestalten","ich wAr mir nicht sicher ob ich die Installation Gräser berühren durfte","Ja","418.56","94.79",,,,,,"65.2",,"63.17",,,,,"25.23",,"170.17",,,,
"90","2025-03-05 17:15:21","5","de","1981292833","2025-03-05 17:11:09","2025-03-05 17:15:21","61","weiblich","2-5 Minuten","Nein","2","5","1","1","1","Ja","Ja","2","1","1","1","1","3","3","3","3","Das Überraschende","Nichts","Ja","254.4","77.5",,,,,,"45.34",,"56.52",,,,,"20.09",,"54.95",,,,
"91","2025-03-05 17:15:24","5","de","648555424","2025-03-05 17:14:29","2025-03-05 17:15:24","22","weiblich","2-5 Minuten","Ja, einmal","3","4","5","3","4","Ja","Ja","3","4","4","5","4","4","5","5","5"," "," ","Ja","56.82","23.2",,,,,,"4.77",,"12.24",,,,,"8.33",,"8.28",,,,
"92","2025-03-05 17:24:48","5","de","828712039","2025-03-05 17:20:50","2025-03-05 17:24:48","60","weiblich","2-5 Minuten","Ja, einmal","4","3","4","3","4","Ja","Ich bin mir unsicher","3","4","3","4","4","4","4","4","4","vogelstimmen","","Ja","240.64","41.76",,,,,,"54.55",,"68.67",,,,,"23.4",,"52.26",,,,
"93","2025-03-05 17:24:06","5","de","1987288399","2025-03-05 17:21:19","2025-03-05 17:24:06","14","weiblich","5-10 Minuten","Ja, einmal","3","4","4","5","4","Ja","Ja","5","5","4","5","3","5","4","5","5","Darstellung der Wachsens der Blume ","/","Ja","170.43","47.49",,,,,,"24.51",,"39.75",,,,,"18.84",,"39.84",,,,
"94","2025-03-05 17:27:41","5","de","1464206208","2025-03-05 17:24:36","2025-03-05 17:27:41","39","männlich","weniger als 2 Minuten","Ja, mehrfach","4","2","1","2","2","Nein","Nein","2","1","1","2","1","","","","2","Geräusche ","","Ich bin mir unsicher","188.04","58.23",,,,,,"34.74",,"54.01",,,,,,,"41.06",,,,
"95","2025-03-05 17:28:20","5","de","85623233","2025-03-05 17:26:08","2025-03-05 17:28:20","43","weiblich","2-5 Minuten","Ja, einmal","3","2","3","5","3","Nein","Nein","2","2","3","4","4","","","","3","Farben","Ausmaß, mehr Details ","Ich bin mir unsicher","134.32","26.44",,,,,,"26.84",,"40.58",,,,,,,"40.46",,,,
"96","2025-03-05 17:37:23","5","de","300320926","2025-03-05 17:34:02","2025-03-05 17:37:23","63","weiblich","2-5 Minuten","Nein","4","3","2","2","2","Nein","Nein","3","5","2","2","3","","","","5","Sehr kreative Änderungen Form und Farbe ","Duft dazugeben","Ja","202.18","37.16",,,,,,"30.29",,"54.07",,,,,,,"80.66",,,,
"97","2025-03-05 17:37:58","5","de","1413759099","2025-03-05 17:34:11","2025-03-05 17:37:58","64","männlich","2-5 Minuten","Nein","2","1","3","4","2","Nein","Nein","2","3","4","4","5","","","","2","","Vorher Info wie es funktioniert","Ja","228.16","39.49",,,,,,"34.04",,"53.87",,,,,,,"100.76",,,,
"98","2025-03-05 17:45:40","5","de","1763020904","2025-03-05 17:37:54","2025-03-05 17:45:40","63","weiblich","2-5 Minuten","Nein","3","3","2","1","2","Nein","Nein","4","3","1","1","1","","","","4","Die Entstehung und Entwicklung der Blumenarrangements","Die unmittelbare und direkte Gefühl, das ich im Geschehen bin und es auch durch meine Bewegungen beeinflusse","Ja","467.85","61.62",,,,,,"80.72",,"103.55",,,,,,,"221.96",,,,
"99","2025-03-05 17:49:29","5","de","1509187481","2025-03-05 17:46:59","2025-03-05 17:49:29",,"N/A","weniger als 2 Minuten","Ja, mehrfach","3","2","2","2","2","Nein","Nein","2","3","2","2","2","","","","3","","","Ich bin mir unsicher","151.52","42.37",,,,,,"27.68",,"52.18",,,,,,,"29.29",,,,
"100","2025-03-05 17:51:36","5","de","1282583316","2025-03-05 17:47:56","2025-03-05 17:51:36","57","weiblich","2-5 Minuten","Ja, einmal","3","3","2","3","3","Ja","Ja","3","3","3","4","2","3","3","3","3","Das ENTSTEHEN DER BLUMEN DURCH GERÄUSCHE ","Deutlicherer Einfluss durch verschiedene Geräusche ","Ich bin mir unsicher","221.47","41.8",,,,,,"39.98",,"45.56",,,,,"16.12",,"78.01",,,,
"101","2025-03-05 17:52:19","5","de","263886076","2025-03-05 17:48:00","2025-03-05 17:52:19","58","männlich","5-10 Minuten","Ja, mehrfach","4","2","2","2","2","Ja","Ja","4","3","4","3","4","2","2","3","3","Interaktion","Interaktion","Nein","261.4","59.85",,,,,,"37.39",,"82.35",,,,,"26.19",,"55.62",,,,
"102","2025-03-13 13:13:28","5","de","618892943","2025-03-13 13:08:43","2025-03-13 13:13:28","67","weiblich","weniger als 2 Minuten","Ja, mehrfach","2","1","1","1","1","Nein","Ja","1","1","1","1","1","1","1","1","3","Farben ","Zu schnell","Ich bin mir unsicher","288.32","73.61",,,,,,"59.11",,"50.41",,,,,"81.23",,"23.96",,,,
